iter	Passed	Remaining
0	24	2404
1	48	2386
2	70	2273
3	92	2212
4	112	2138
5	119	1875
6	133	1774
7	146	1688
8	167	1690
9	174	1569
10	194	1574
11	214	1574
12	235	1576
13	256	1576
14	277	1573
15	298	1567
16	318	1557
17	339	1548
18	361	1540
19	382	1528
20	402	1515
21	423	1502
22	444	1489
23	466	1476
24	487	1462
25	509	1450
26	531	1437
27	552	1421
28	575	1408
29	597	1393
30	617	1375
31	640	1360
32	665	1351
33	689	1339
34	714	1326
35	737	1311
36	761	1296
37	785	1280
38	808	1265
39	831	1247
40	855	1231
41	880	1215
42	904	1198
43	927	1180
44	950	1161
45	974	1144
46	1001	1129
47	1028	1114
48	1057	1100
49	1085	1085
50	1107	1064
51	1139	1051
52	1170	1038
53	1202	1024
54	1229	1005
55	1255	986
56	1282	967
57	1309	948
58	1334	927
59	1356	904
60	1379	882
61	1403	860
62	1427	838
63	1450	815
64	1473	793
65	1496	770
66	1520	749
67	1544	726
68	1567	704
69	1590	681
70	1613	658
71	1636	636
72	1659	613
73	1682	591
74	1706	568
75	1730	546
76	1754	523
77	1777	501
78	1800	478
79	1823	455
80	1846	433
81	1869	410
82	1891	387
83	1915	364
84	1938	342
85	1962	319
86	1985	296
87	2008	273
88	2028	250
89	2049	227
90	2069	204
91	2089	181
92	2108	158
93	2128	135
94	2150	113
95	2171	90
96	2192	67
97	2213	45
98	2234	22
99	2253	0
